CDSSYS,CDS_SUPP_QUOTES,,EN
ID,SUPPLIER_NAME,SUPPLIER_CONTACT,PART_NO,ENQUIRY_QTY_1,ENQUIRY_QTY_2,ENQUIRY_QTY_3,ENQUIRY_QTY_4,DATE_RAISED,PART_DESC,CURRENT_PART_ISSUE,PUR_QTY_1,PUR_COST_1,PUR_LT_1,PUR_QTY_2,PUR_COST_2,PUR_LT_2,PUR_QTY_3,PUR_COST_3,PUR_LT_3,PUR_QTY_4,PUR_COST_4,PUR_LT_4,PUR_FAI_COST,PUR_FAI_LT,PUR_TOOL_COST,PUR_TOOL_LT,ECR_LT,SC_LT,COMMENTS
7759,AE AEROSPACE LTD,M PERRIN,77069582,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7760,AE AEROSPACE LTD,M PERRIN,77069581,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7761,AE AEROSPACE LTD,M PERRIN,77069581,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7762,AE AEROSPACE LTD,M PERRIN,77069580,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7763,AE AEROSPACE LTD,M PERRIN,77069579,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7765,PATTONAIR,,SP68-203            ,2,0,0,10,2015-09-11,RIVET                    ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7766,PATTONAIR,,77491163,1,20,50,250,2015-09-11,SHIM                     ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7767,PATTONAIR,,77153862,1,25,50,250,2015-09-11,SHIM                     ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7768,PATTONAIR,,77348717,1,25,50,250,2015-09-11,SHIM WASHER              ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7769,PATTONAIR,,7231301,1,5,10,50,2015-09-11,STEPPED STUD             ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7770,PATTONAIR,,0953-0588,1,40,100,500,2015-09-11,GASKET                   ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7771,PATTONAIR,,STD333-427-2,1,5,10,50,2015-09-11,PROTECTION CAP           ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7772,PATTONAIR,,77691784,1,5,10,50,2015-09-11,WASHER                   ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7773,PATTONAIR,,1890-4150,1,10,300,1500,2015-09-11,SCREW SOCKET CAP         ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7774,PATTONAIR,,GTS327-28,1,5,10,50,2015-09-11,WIRE INSERT              ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7776,LONDON NAMEPLATE COMPANY      ,,86620320,1,0,0,5,2015-09-11,CARD LABEL               ,   ,25,7,7,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,25=moq
