CDSSYS,CDS_BILL,,EN
RECD_CODE,PRNT_PART_NBR,COMP_PART_NBR,QTY_PER
BM,GTS1500-14/A,GTS1500-14,1
BM,GTS1500-14/B,GTS1500-14,1
BM,GTS1500-164/A,GTS1500-164,1
BM,GTS1500-174/A,GTS1500-174,1
BM,GTS1500-240/A,GTS1500-240,1
BM,GTS1500-241/A,GTS1500-241,1
BM,GTS1500-241/B,GTS1500-241,1
BM,GTS1500-244/A,GTS1500-244,1
BM,GTS1500-244/B,GTS1500-244,1
BM,GTS1500-245/A,GTS1500-245,1
BM,GTS1500-245/B,GTS1500-245,1
BM,GTS1500-245/C,GTS1500-245,1
BM,GTS1500-245/D,GTS1500-245,1
BM,GTS1500-245/E,GTS1500-245,1
BM,GTS1500-245/F,GTS1500-245,1
BM,GTS1500-245/G,GTS1500-245,1
BM,GTS1500-273/A,GTS1500-273,1
BM,GTS1500-273/B,GTS1500-273,1
BM,GTS1500-273/C,GTS1500-273,1
BM,GTS1500-273/D,GTS1500-273,1
BM,GTS1500-32/A,GTS1500-32,1
BM,GTS1500-32/B,GTS1500-32,1
BM,GTS1500-373/A,GTS1500-373,1
BM,GTS1500-373/B,GTS1500-373,1
BM,GTS1500-390/A,GTS1500-390,1
BM,GTS1500-393/A,GTS1500-393,1
BM,GTS1500-393/B,GTS1500-393,1
BM,GTS1500-4040/A,GTS1500-4040,1
BM,GTS1500-4050/A,GTS1500-4050,1
BM,GTS1500-4060/A,GTS1500-4060,1
BM,GTS1500-74/A,GTS1500-74,1
BM,GTS1500-74/B,GTS1500-74,1
BM,GTS1500-74/C,GTS1500-74,1
BM,GTS1500-74/D,GTS1500-74,1
BM,GTS1500-86/A,GTS1500-86,1
BM,GTS1500-86/B,GTS1500-86,1
BM,GTS1500-86/C,GTS1500-86,1
BM,GTS1500-86/D,GTS1500-86,1
BM,GTS1500-86/E,GTS1500-86,1
BM,GTS1502/A,GTS1502,1
BM,GTS1502/B,GTS1502,1
BM,GTS1509/A,GTS1509,1
BM,GTS1509/B,GTS1509,1
BM,GTS1509/C,GTS1509,1
BM,GTS1510/A,GTS1510,1
BM,GTS1512-1/A,GTS1512-1,1
BM,GTS1513-1/A,GTS1513-1,1
BM,GTS1513-1/B,GTS1513-1,1
BM,GTS1513-1/C,GTS1513-1,1
BM,GTS1513-1/D,GTS1513-1,1
BM,GTS1513-1/E,GTS1513-1,1
BM,GTS1513-1/F,GTS1513-1,1
BM,GTS1521-1/A,GTS1521-1,1
BM,GTS1521-1/B,GTS1521-1,1
BM,GTS1521-1/C,GTS1521-1,1
BM,GTS1521-2/A,GTS1521-2,1
BM,GTS1533-1/A,GTS1533-1,1
BM,GTS1533-1/B,GTS1533-1,1
BM,GTS1533-1/C,GTS1533-1,1
BM,GTS1533-1/D,GTS1533-1,1
BM,GTS1533-1/E,GTS1533-1,1
BM,GTS1533-1/F,GTS1533-1,1
BM,GTS1533-1/G,GTS1533-1,1
BM,GTS1534-1/A,GTS1534-1,1
BM,GTS1539/A,GTS1539,1
BM,GTS1539/B,GTS1539,1
BM,GTS1540/A,GTS1540,1
BM,GTS1542-2/A,GTS1542-2,1
BM,GTS1558-2/A,GTS1558-2,1
BM,GTS1558-2/B,GTS1558-2,1
BM,GTS1560-1/A,GTS1560-1,1
BM,GTS1561/A,GTS1561,1
BM,GTS1561/B,GTS1561,1
BM,GTS1562-1/A,GTS1562-1,1
BM,GTS1562-1/B,GTS1562-1,1
BM,GTS1575-1/A,GTS1575-1,1
BM,GTS1575-1/B,GTS1575-1,1
BM,GTS1576-1/A,GTS1576-1,1
BM,GTS1576-1/B,GTS1576-1,1
BM,GTS1576-1/C,GTS1576-1,1
BM,GTS1576-1/D,GTS1576-1,1
BM,GTS1577-1/A,GTS1577-1,1
BM,GTS1578-1/A,GTS1578-1,1
BM,GTS1579-1/A,GTS1579-1,1
BM,GTS1580-1/A,GTS1580-1,1
BM,GTS1580-1/B,GTS1580-1,1
BM,GTS1580-2/A,GTS1580-2,1
BM,GTS1584-1/A,GTS1584-1,1
BM,GTS1590-1/A,GTS1590-1,1
BM,GTS1590-1/B,GTS1590-1,1
BM,GTS1593-12/A,GTS1593-12,1
BM,GTS1593-12/B,GTS1593-12,1
BM,GTS1596-45/A,GTS1596-45,1
BM,GTS1596-45/B,GTS1596-45,1
BM,GTS1596-45/C,GTS1596-45,1
BM,GTS1597-244/A,GTS1597-244,1
BM,GTS1597-273/A,GTS1597-273,1
BM,GTS1597-32/A,GTS1597-32,1
BM,GTS1604-103F/0.20,GTS1604-103F,1
BM,GTS1604-103J/0.20,GTS1604-103J,1
BM,GTS1604-182J/0.20,GTS1604-182J,1
BM,GTS1604-222J/A,GTS1604-222J,1
BM,GTS1604-392J/A,GTS1604-392J,1
BM,GTS1604-472G/A,GTS1604-472G,1
BM,GTS1604-472J/0.20,GTS1604-472J,1
BM,GTS1604-562K/A,GTS1604-562K,1
BM,GTS1605-101J/0.20,GTS1605-101J,1
BM,GTS1605-102J/0.20,GTS1605-102J,1
BM,GTS1605-152K/0.20,GTS1605-152K,1
BM,GTS1605-220K/0.20,GTS1605-220K,1
BM,GTS1605-221J/0.20,GTS1605-221J,1
BM,GTS1605-271K/0.20A,GTS1605-271K,1
BM,GTS1605-330K/0.20,GTS1605-330K,1
BM,GTS1605-470K/0.20,GTS1605-470K,1
BM,GTS1605-471J/0.20,GTS1605-471J,1
BM,GTS1605-560K/0.20,GTS1605-560K,1
BM,GTS1606-102K/0.20,GTS1606-102K,1
BM,GTS1606-102K/0.20A,GTS1606-102K,1
BM,GTS1606-103K/0.20,GTS1606-103K,1
BM,GTS1606-103K/0.20A,GTS1606-103K,1
BM,GTS1606-104K/0.20,GTS1606-104K,1
BM,GTS1606-104K/0.20A,GTS1606-104K,1
BM,GTS1606-223K/0.20,GTS1606-223K,1
BM,GTS1606-392K/0.20,GTS1606-392K,1
BM,GTS1607-104K/0.20,GTS1607-104K,1
BM,GTS1607-104K/0.20A,GTS1607-104K,1
BM,GTS1607-105K/A,GTS1607-105K,1
BM,GTS1607-105K/B,GTS1607-105K,1
BM,GTS1607-105K/C,GTS1607-105K,1
BM,GTS1607-105K/0.20,GTS1607-105K,1
BM,GTS1607-105K/0.20D,GTS1607-105K,1
BM,GTS1607-105K/0.20E,GTS1607-105K,1
BM,GTS1607-105K/0.20F,GTS1607-105K,1
BM,GTS1607-123K/0.20,GTS1607-123K,1
BM,GTS1607-124K/0.20,GTS1607-124K,1
BM,GTS1607-153K/0.20,GTS1607-153K,1
BM,GTS1607-154K/0.20,GTS1607-154K,1
BM,GTS1607-184K/0.20,GTS1607-184K,1
BM,GTS1607-223K/0.20,GTS1607-223K,1
BM,GTS1607-224K/0.20,GTS1607-224K,1
BM,GTS1607-273K/0.20,GTS1607-273K,1
BM,GTS1607-333K/0.20,GTS1607-333K,1
BM,GTS1607-334K/0.20,GTS1607-334K,1
BM,GTS1607-334K/0.20A,GTS1607-334K,1
BM,GTS1607-473K/0.20,GTS1607-473K,1
BM,GTS1607-474K/0.20,GTS1607-474K,1
