CDSSYS,CDS_DLF,,EN
PART_NBR,PRICE,LEAD_TIME
GTS326-6,1.09,234
GTS326-4,0.37,235
GTS326-32,0.38,236
GTS326-31,0.36,237
GTS326-24,1.17,238
GTS326-23,0.42,239
GTS326-22,0.49,240
GTS326-21,0.42,241
GTS326-15,0.96,242
GTS326-13,0.34,243
GTS326-12,0.43,244
GTS304-013,0.83,245
GTS297-4,0.41,246
GTS297-2,2.62,247
GTS296-12,0.28,248
GTS180-8,4.97,249
GTS180-3,1.25,250
GTS176-22,0.05,251
GTS176-21,0.06,252
GTS169-6,5,253
GTS169-4,5.2,254
GTS149-2,0.75,255
GTS149-1,0.61,256
EN3196-030,3.59,257
EN2937-040012,2.31,258
EN2937-030010,7.6,259
EN2927-070024,25.64,260
EN2927-070020,9.5,261
EN2927-060038,8.87,262
EN2927-060022,7.96,263
EN2927-060020,3.34,264
EN2927-050050,4.37,265
EN2927-050024,4.53,266
EN2927-050022,3.27,267
EN2927-050020,3.31,268
EN2927-050018,5.66,269
EN2927-050016,5.09,270
EN2927-050014,4.76,271
EN2927-050010,5.21,272
BSSP19C,0.27,273
BSSP127C,0.03,274
BSSP123B,0.17,275
BSA236-4RW,9.21,276
AS63239,1.49,277
AS63237-5,1.59,278
AS63237-2,1.59,279
AS4561-2,0.12,280
AS43013-131,2.57,281
AS43013-118,1.17,282
AS43013-112,0.94,283
AS43003-902,1.62,284
AS36714,7.93,285
AS36708,3.54,286
AS36705,2.16,287
AS36506,6.21,288
AS36505,1.25,289
AS27905,8.38,290
AS27904,9.14,291
AS27468,10.8,292
AS27467,7.1,293
AS21415,1.35,294
AS21414,3.86,295
AS21413,3.98,296
AS21411,3.65,297
AS21406,2.47,298
AS21405,6.03,299
AS21310,2.56,300
AS21308,1.45,301
AS21305,3.31,302
AS21117,7.73,303
AS20644,2.07,304
AS20642,2.02,305
AS20625,0.75,306
AS20624,0.61,307
AS20623,5.49,308
AS1986-08,31.28,309
AS1986-04,21.74,310
AS12943,0.49,311
AS12942,0.36,312
AGS3808-1616,22.52,313
AGS3758,1.03,314
AGS3731,0.63,315
77879351-19,0.45,316
77879351-18,0.41,317
77879351-14,0.41,318
77879351-10,0.4,319
77879138,29.77,320
2006-4009,87.7,321
2006-4004,37.25,322
1970-4083,59.31,323
1970-4074,9.66,324
1970-4069,15.18,325
1970-4062,11.94,326
1970-4059,40.56,327
1970-4038,99.51,328
1970-4037,10.41,329
1970-4036,33.67,330
1970-4034,103.89,331
1875-4012,1.74,332
1875-4003,92.83,333
1776-4024,45.69,334
1727-4001,19.79,335
17123-10,45.5,336
1685-9004,28.1,337
1685-4043,8.83,338
1685-4042,34.36,339
1685-4041,17.39,340
1685-4037,18.6,341
1655-1100,20.63,342
1655-1066,6.13,343
1655-1005,5.24,344
0215-4031,1.44,345
0215-4030,1.4,346
0215-4029,1.4,347
0215-4028,1.33,348
0215-4024,0.97,349
0199-4086,8.66,350
96736717,3.17,351
77879136,1.01,352
77879094,3.16,353
77879085,79.37,354
77879059,1.37,355
77878922,1.19,356
77878914,9.15,357
77878907,59.47,358
77878798,16.44,359
77878783,47.34,360
