CDSSYS,CDS_CUST_ENQUIRY,,EN
PART_NO,DATE_REQUESTED,QUOTE_PRICE_1,QUOTE_PRICE_LT_1,QUOTE_QTY_1,QUOTE_PRICE_2,QUOTE_PRICE_LT_2,QUOTE_QTY_2,QUOTE_PRICE_3,QUOTE_PRICE_LT_3,QUOTE_QTY_3,QUOTE_PRICE_4,QUOTE_PRICE_LT_4,QUOTE_QTY_4,QUOTE_REF,QUOTE_VALIDITY
86630093,2015-08-18,3557.570806,25,0,3048.857277,25,0,3048.857277,25,0,0,4,0,CDS5008\2015,2016-09-25
7231301,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,,
KDC3766,2015-08-18,1175.99,17,1,1175.99,17,5,0,12,0,0,12,0,CDS5012\2015,2016-09-29
77872822,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,CDS5024\2015,2016-08-27
77032262,2015-08-18,151.07,12,100,0,0,0,0,0,0,135.91,12,500,CDS5025\2015,2016-09-29
77032699,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,,
0953-0588,2015-08-19,0,0,0,0,0,0,0,0,0,0,0,0,,
17101-75,2015-08-19,46.08,20,1,46.08,20,5,46.08,20,10,0,0,50,CDS5016\2015,2016-08-21
GTS1933-033,2015-08-19,0,0,0,0,0,0,0,0,0,0,0,0,,
77491163,2015-08-20,0,0,0,0,0,0,0,0,0,0,0,0,,
77871287,2015-08-24,598.65,20,5,0,0,0,0,0,0,0,0,0,CDS5033\2015,2016-09-15
77600359,2015-08-24,4519.23,32,5,3143.78,32,10,1543.68,32,50,0,0,0,CDS5030\2015,2016-10-02
77153862,2015-08-24,0,0,0,0,0,0,0,0,0,0,0,0,,
1310-1080,2015-08-24,0,0,0,0,0,0,0,0,0,0,0,0,,
77871287,2015-08-24,598.65,20,5,0,0,0,0,0,0,0,0,0,CDS5033\2015,2016-09-15
KDCC774,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
86610424,2015-08-25,3.709647152,2,0,3.709647152,2,0,3.709647152,2,0,0,0,0,CDS5034\2015,2016-08-27
77348717,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77156694,2015-08-25,84.01,16,40,0,0,0,0,0,0,0,0,0,CDS5056\2015,2016-09-17
77156688,2015-08-25,93.92,12,40,0,0,0,0,0,0,0,0,0,CDS5057\2015,2016-09-18
77069589,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069588,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069587,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069586,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069585,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069584,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069583,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069582,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069581,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069580,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069579,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069578,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
0216-4013,2015-08-26,156.01,13,5,98.54,13,10,83.28,13,50,0,0,0,CDS5044\2015,2016-10-01
GTS327-28,2015-08-26,0,0,0,0,0,0,0,0,0,0,0,0,,
48-900-0002,2015-08-26,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS591-41K,2015-08-27,0.75,16,100,0,0,0,0,0,0,0,0,0,CDS5051\2015,2016-10-01
