CDSSYS,CDS_CUST,,EN
CUST_ID,CUST_NAME,CURRENCY_CD
4RBA001,ROYAL BRUNEI AIRLINES,GBP
4RCR001,REPAIRCRAFT PLC,GBP
4RGI001,REGIONAL COMPAGNIE AERIENNE,GBP
4RJA001,THE ROYAL JORDANIAN AIR.,GBP
4ROF003,ROYAL AIR FORCE,GBP
4ROF004,ROYAL AIR FORCE,GBP
4RRO001,RR BRISTOL - BILL TO DERBY,GBP
4RRO004,ROLLS ROYCE PLC,GBP
4RRO006,ROLLS-ROYCE AERO ENGINE,GBP
4RRO009,ROLLS ROYCE CANADA LTD,GBP
4RRO014,ROLLS ROYCE - ANSTY,GBP
4RRO016,ROLLS-ROYCE PLC,GBP
4RRO017,TURBOMECA,GBP
4RRO018,ROLLS SMITHS ENGINE,GBP
4RRO019,ROLLS  ROYCE DEUTSCHLAND,USD
4RRO020,RR SEATTLE,USD
4RRO904,ROLLS-ROYCE (TRENT) PLC,GBP
4RSE001,RELIANCE SECURITY,GBP
4SAA001,SOUTH AFRICAN AIRWAYS,GBP
4SBB001,SAAB AB,USD
4SCH004,HELI-ONE  COMPONENTS BV,GBP
4SIA001,SINGAPORE AIRLINES LTD,GBP
4SIF001,SMMT INDUSTRY FORUM,GBP
4SMI001,SMITHS,GBP
4SMI003,SMITHS INDUSTR. AEROSPACE,GBP
4SNC002,SHINTOA,USD
4SQA001,SIAI MARCHETTI,GBP
4SQM001,SAGEM-LUCAS,GBP
4SQU001,SMITHS INDUSTRIES PLC,GBP
4SRW001,AERO STANREW LIMITED,GBP
4SVA002,SAUDI ARABIAN AIRLINES,GBP
4TAP001,AIR PORTUGAL,GBP
4THA001,THAI AIRWAYS INTN. PCL,GBP
4THQ001,THOMSON CSF,GBP
4THW001,TEWS ENGINEERING LTD,GBP
4THZ001,THEME CATERING LTD,GBP
4TKD001,TEKDATA LIMITED,GBP
4TLZ001,TEMPLE OFFICE SERVICES,GBP
4TRA001,TRANSAVIA AIRLINES,GBP
4TUQ001,TURKMENISTAN AIRLINES,GBP
4UAE001,EMIRATES,GBP
4VSY001,VIASYSTEMS,GBP
4WOV001,WOVEN ELECTRONICS LTD,GBP
4YUE001,YUASA AUTOMOTIVE,GBP
4ZAA001,AAA INTERAIR INC,GBP
LAESG11,GOODRICH AEROSPACE PTE LTD,GBP
4ARH001,ARDEN PRECISION,GBP
4LBH001,LOUGHBOROUGH UNIVERSITY,GBP
4INL001,INVICTA ELECTRONICS SERV. LTD,GBP
4SGL001,SAYGROVE ELECTRONICS LTD,GBP
4CSX001,COMPSTOCK GROUP,GBP
4WTA001,ESTERLINE,GBP
4TKX001,TEKNOFLEX LIMITED,GBP
4MSM001,MICROSS COMPONENTS LTD,GBP
4MRU001,MARUBENI AEROSPACE CORP.,USD
4HPC001,HYPERTAC LTD,GBP
4MLF001,M & L Feinmechanik,GBP
4ITM001,INVOTEC GROUP LTD,GBP
4DTA001,DEUTSCH LTD,GBP
4LGC001,Logic S.p.a,GBP
4CZM002,RF2M MICROELECTRONICS LTD,GBP
4VIR001,VIRGIN ATLANTIC AIRWAYS LTD,GBP
LGDR118,ROSEMOUNT AEROSPACE LTD,GBP
4TRW934,LEONI WIRING SYSTEMS,GBP
4TRW935,TRW AUTOMOTIVE,GBP
4TRW908,TRW LTD (GROUP SERVICES),GBP
4TRW940,TRW ASG - CORPORATE,GBP
LGDR120,ROSEMOUNT AEROSPACE INC,GBP
4TRW933,TRW - ELECTRICAL & ELECTTRONIC,GBP
LGDR102,GOODRICH AEROSPACE TOULOUSE,GBP
4TRW945,LOET QUANT,GBP
4TRW944,LUCAS CONTROL SYSTEMS,GBP
4TRW943,LUCAS E&S TECH CENTRE,GBP
LGDR100,GOODRICH AEROSTRUCTURES,GBP
4TRW928,TRW FRANKFURT,GBP
4TRW941,TRW GROUP SERVICES,GBP
4TRW948,TRW LANA,GBP
4TRW946,TRW OVERSEAS INC,GBP
4TRW936,TRW - COMPANY STAFF,GBP
4TRW942,WOODWARD DIESEL SYSTEMS,GBP
4TRW950,LUCAS INDUSTRIES,GBP
LGDR117,ROSEMOUNT INC,GBP
LGDR106,BF GOODRICH COMPONENT SVC CTRE,USD
LGDR116,GOODRICH AEROSPACE,USD
4TRW952,TRW,USD
4TRW920,TRW EXECUTIVE OFFICES,USD
4TRW951,TRW CORPORATE BSC,USD
4TRW953,TRW SHARED SERVICES,USD
LGDR110,TEC SYSTEMS LLC,USD
LGDR122,CHANDLER EVANS (LIZENZ),USD
LGDR123,GOODRICH PUMP AND ENGINE,USD
LGDR111,GOODRICH HELLA AEROSPACE GmbH,USD
4TRW966,TRW OVERSEAS INC,USD
DUMMY,Goodrich add. conv. DO NOT USE,GBP
4SST001,SERCO SYSTEMS LTD,GBP
4UTC001,User 2 Computers,GBP
4AEX001,ASE S P A,GBP
LAEGB12,G.A.S. - COVENTRY,GBP
4SNF001,STAENG,GBP
4EPR001,EXPRESS ENGINEERING (THOMPSON),GBP
4IFR001,IFR,GBP
4DFA029,DFAS CLEVELAND CTR SAN DIEGO,GBP
4FTA001,FORCE TECHNOLOGIES,GBP
LAEFR11,GOODRICH GAS ST OUEN,GBP
